Année;Population estimée;Population moyenne;Taux d'accroissement naturel;Taux d'accroissement;Solde naturel
2023;279390;279182;0,0062;0,0015;1741
2022;278975;278770;0,007;0,0015;1958
2021;278565;278516;0,0051;0,0004;1415
2020;278467;278117;0,0073;0,0025;2020
2019;277767;277413;0,0073;0,0026;2021
2018;277058;276615;0,0079;0,0032;2199
2017;276172;275764;0,008;0,003;2214
2016;275355;274570;0,0094;0,0057;2582
2015;273784;273042;0,0091;0,0055;2484
2014;272299;271438;0,01;0,0064;2717
2013;270576;269713;0,0101;0,0064;2737
2012;268850;268153;0,0109;0,0052;2924
2011;267456;266639;0,0117;0,0061;3115
2010;265822;264916;0,0125;0,0069;3320
2009;264009;263117;0,0125;0,0068;3280
2008;262226;261252;0,0132;0,0075;3461
2007;260279;258929;0,0125;0,0105;3236
2006;257580;255945;0,0135;0,0129;3457
2005;254311;252794;0,0128;0,0121;3237
2004;251278;249714;0,0133;0,0126;3320
2003;248149;246555;0,0137;0,013;3388
2002;244960;243241;0,015;0,0142;3651
2001;241523;239451;0,0155;0,0175;3719
2000;237380;235213;0,0166;0,0186;3913
1999;233045;230921;0,0166;0,0186;3830
1998;228797;226851;0,0153;0,0173;3462
1997;224905;222878;0,0163;0,0184;3623
1996;220850;219150;0,0175;0,0156;3828
1995;217449;215736;0,0176;0,016;3807
1994;214023;212185;0,019;0,0175;4040
1993;210348;208408;0,0204;0,0188;4248
1992;206468;204510;0,0208;0,0193;4264
1991;202551;200535;0,0219;0,0203;4399
1990;198519;196398;0,0234;0,0218;4596
1989;194277;192235;0,0231;0,0215;4436
1988;190194;187940;0,0257;0,0243;4826
1987;185685;183435;0,0239;0,0248;4378
1986;181185;178903;0,0249;0,0258;4451
1985;176621;174342;0,0255;0,0265;4437
1984;172062;169841;0,0255;0,0265;4325
